N° Commande,Statut,Opérateur,Client,Téléphone,Adresse,Ville,Produit,Quantité,Prix,Date Création,Motifs,Modification
YCN-000052,Non affectée,Op2,لحسن Skalli,07-80-86-25-53,N/A,Fès,CHAUSS HOM YZ 304 - 41/Marron / marron,1,279,2023-01-21 09:37:26,,
SHP-000053,Non affectée,,Mohamed El Fassi,07-39-81-24-37,N/A,مكناس,CHAUSS FEM YZ 244 - 37/أحمر / rouge,1,249,2023-02-19 10:52:21,,
YCN-000054,Non affectée,,Samira Alaoui,06-69-17-21-46,N/A,Guercif,CHAUSS FEM YZ 244 - 38/أسود / noir,1,249,2023-08-27 16:57:24,,
SHP-000055,Doublon,,إدريس العمراني,06-48-35-47-58,N/A,Oujda,SDL HOM YZ740 - 41/marron / بني,1,345,2024-04-21 14:58:46,SHP-000053 (L62),
YCN-000056,Non affectée,Marketing,Lahcen Bennani,07-62-43-27-87,N/A,بني ملال,CHAUSS FEM YZ 244 - 41/أزرق / bleu,3,249,2023-06-29 15:02:57,,
SHP-000057,Doublon,,Mustapha Idrissi,06-50-15-57-22,N/A,Rabat,CHAUSS HOM YZ 304 - 45/Marron / marron,1,279,2023-01-27 19:51:01,YCN-000044 (L225),
YCN-000058,Non affectée,,Said Alaoui,07-94-93-40-37,N/A,Beni Mellal,SDL HOM YZ740 - 43/noir / أسود,1,345,2023-10-16 09:38:41,,
YCN-000059,Non affectée,,Widad Amrani,06-67-63-62-10,N/A,Ouarzazate,CHAUSS HOM YZ 304 - 42/Noir / noir,1,279,2024-03-15 12:32:07,,
SHP-000060,Non affectée,,إكرام Essabri,07-57-76-91-93,N/A,الراشيدية,SDL HOM YZ740 - 42/marron / بني,1,345,2023-12-07 16:56:55,,
YCN-000061,Non affectée,,Aicha Idrissi,06-87-93-37-56,N/A,Larache,CHAUSS FEM YZ 247 - 36/Bleu / bleu,1,239,2024-09-15 13:26:13,,
YCN-000062,Non affectée,,Naima Idrissi,06-84-11-67-38,N/A,Khemisset,CHAUSS FEM YZ 247 - 39/Noir / noir,1,239,2024-09-05 12:55:20,,
YCN-000063,Non affectée,,خديجة التازي,07-45-57-50-29,N/A,الجديدة,CHAUSS HOM YZ 304 - 45/Noir / noir,1,279,2023-01-29 09:53:21,,
YCN-000064,Non affectée,,حميد Zahidi,07-25-63-24-35,N/A,Larache,CHAUSS FEM YZ 249 - 37/Rose / rose,1,249,2024-07-08 15:02:20,,
YCN-000065,Non affectée,,Naima Amrani,06-50-81-60-56,N/A,آسفي,CHAUSS FEM YZ 248 - 39/Vert / vert,1,259,2024-11-14 09:09:21,,
YCN-000066,Non affectée,,Nadia Benali,07-90-32-32-32,N/A,الراشيدية,CHAUSS FEM YZ 248 - 40/Bleu / bleu,1,259,2024-09-18 09:42:11,,
YCN-000067,Non affectée,,Rajae Bennani,06-12-76-68-62,N/A,طنجة,CHAUSS FEM YZ 247 - 38/Rouge / rouge,1,239,2024-11-16 13:52:07,,
YCN-000068,Non affectée,,Said Tazi,07-45-27-97-13,N/A,فاس,CHAUSS FEM YZ 249 - 40/Bleu / bleu,1,249,2023-01-16 10:05:13,,
YCN-000069,Non affectée,Op3,نعيمة الفاسي,07-42-65-15-98,N/A,Oujda,SDL HOM YZ740 - 45/noir / أسود,1,345,2023-05-11 16:01:52,,
SHP-000070,Non affectée,,Salma Amrani,07-37-39-87-49,N/A,Khouribga,CHAUSS FEM YZ 244 - 41/أسود / noir,1,249,2024-07-28 10:30:05,,
YCN-000071,Non affectée,,إسماعيل التازي,07-63-77-60-37,33 Rue Omar Ibn Khattab,Tétouan,CHAUSS FEM YZ 244 - 38/أحمر / rouge,1,249,2025-06-02 09:20:55,,
YCN-000072,Non affectée,,Malika Idrissi,07-63-18-93-40,N/A,Tétouan,ESP HOM YZ650 - 43/أسود أبيض / noir blanc,1,299,2024-07-16 22:30:50,,
SHP-000073,Non affectée,,Abdelkader Amrani,06-39-65-55-25,N/A,مراكش,CHAUSS FEM YZ 247 - 39/Bleu / bleu,1,239,2025-05-21 09:33:54,,
SHP-000074,Erronée,,محمد الشافعي,06-87-95-27-18,N/A,مراكش,CHAUSS FEM YZ 247 - 39/Rouge / rouge,1,239,2025-07-04 09:16:56,Numéro de téléphone invalide,
SHP-000075,Non affectée,,Houda Tazi,07-13-17-21-79,N/A,أگادير,CHAUSS FEM YZ 249 - 37/Rose / rose,1,249,2025-06-04 12:57:44,,
SHP-000076,Non affectée,,أحمد Abouali,07-57-82-23-92,Lotissement Chourouk,Guercif,ESP HOM YZ650 - 42/الأزرق / bleu,1,299,2025-03-22 10:20:37,,
SHP-000077,Non affectée,,Salma Bennani,06-54-99-10-18,N/A,Kénitra,CHAUSS FEM YZ 247 - 39/Noir / noir,1,239,2024-08-01 09:12:15,,
YCN-000078,Non affectée,,Noureddine Idrissi,06-83-55-49-20,N/A,تازة,ESP HOM YZ650 - 42/أسود أبيض / noir blanc,1,299,2024-10-19 22:32:22,,
YCN-000079,Non affectée,,Souad Alaoui,06-78-98-73-38,N/A,Safi,ESP HOM YZ650 - 44/الرمادي / gris,1,299,2023-11-20 10:08:31,,
SHP-000080,Non affectée,,Driss Bennani,06-92-94-15-10,N/A,Guercif,ESP HOM YZ650 - 44/أسود أبيض / noir blanc,3,299,2024-11-16 19:20:08,,
YCN-000081,Doublon,,Nadia Benali,07-18-93-55-30,N/A,Rabat,ESP HOM YZ650 - 43/الرمادي / gris,1,299,2023-03-19 13:39:05,YCN-000063 (L217),
SHP-000082,Non affectée,,سعاد الشافعي,07-51-90-20-20,N/A,Settat,CHAUSS FEM YZ 249 - 38/Bleu / bleu,1,249,2024-07-31 11:13:51,,
SHP-000083,Non affectée,,هدى Touhami,06-77-49-14-49,15 Bd Hassan II,أگادير,CHAUSS HOM YZ 304 - 45/Noir / noir,1,279,2023-05-04 16:33:38,,
SHP-000084,Non affectée,,Samira Benali,06-63-78-21-77,N/A,Khouribga,CHAUSS FEM YZ 248 - 37/Vert / vert,1,259,2024-04-19 08:49:19,,
YCN-000085,Non affectée,,Ikram Bennani,06-41-76-62-72,N/A,Rabat,CHAUSS HOM YZ 303 - 43/Noir / noir,1,289,2024-05-14 11:35:24,,
SHP-000086,Non affectée,,Ahmed Amrani,07-42-37-97-15,N/A,مكناس,CHAUSS FEM YZ 247 - 39/Noir / noir,1,239,2024-07-03 18:36:38,,
SHP-000087,Non affectée,Vente,ليلى التازي,06-93-99-62-71,N/A,Fès,CHAUSS FEM YZ 249 - 37/Bleu / bleu,1,249,2024-01-01 18:40:42,,
YCN-000088,Non affectée,,نور الدين العمراني,07-59-17-79-80,N/A,Ouarzazate,CHAUSS FEM YZ 244 - 37/أزرق / bleu,1,249,2023-01-18 20:22:46,,
YCN-000089,Non affectée,,إسماعيل بناني,06-99-43-66-79,N/A,Safi,ESP HOM YZ650 - 40/أسود أبيض / noir blanc,1,299,2023-11-25 14:48:48,,
YCN-000090,Non affectée,,Driss Alaoui,06-35-44-12-89,N/A,Larache,CHAUSS HOM YZ 304 - 45/Noir / noir,3,279,2024-04-02 18:27:48,,
YCN-000091,Non affectée,,حميد الفاسي,07-14-41-68-32,N/A,Larache,SDL HOM YZ740 - 42/noir / أسود,1,345,2023-08-11 12:33:10,,
SHP-000092,Non affectée,Op2,Souad Amrani,06-67-31-21-13,N/A,Errachidia,ESP HOM YZ650 - 44/أسود أبيض / noir blanc,1,299,2024-10-16 21:11:35,,
SHP-000093,Non affectée,,Noureddine Idrissi,07-71-23-88-52,N/A,تازة,CHAUSS FEM YZ 248 - 38/Rouge / rouge,3,259,2024-04-03 21:25:52,,
YCN-000094,Non affectée,,Latifa Amrani,06-36-65-97-83,Lotissement Chourouk,Meknès,CHAUSS HOM YZ 303 - 42/Marron / marron,1,289,2024-03-11 18:54:59,,
SHP-000095,Non affectée,,Redouane Alaoui,07-82-34-67-84,N/A,Settat,CHAUSS FEM YZ 244 - 40/أحمر / rouge,1,249,2023-08-18 09:50:11,,
YCN-000096,Non affectée,,عمر Essabri,06-60-85-93-35,8 Rue Al Massira,Beni Mellal,CHAUSS FEM YZ 248 - 37/Bleu / bleu,1,259,2023-12-01 21:26:55,,
YCN-000097,Non affectée,,Lahcen Idrissi,06-82-36-81-86,N/A,Safi,CHAUSS FEM YZ 244 - 37/أحمر / rouge,1,249,2023-10-21 13:43:52,,
YCN-000098,Non affectée,,Layla Tazi,06-35-59-55-16,N/A,فاس,CHAUSS FEM YZ 248 - 40/Rouge / rouge,1,259,2025-01-11 21:31:07,,
SHP-000099,Doublon,,Ismail Bennani,06-74-78-81-86,N/A,Ouarzazate,CHAUSS FEM YZ 249 - 37/Bleu / bleu,1,249,2024-08-18 15:00:57,SHP-000018 (L459),
SHP-000100,Non affectée,,Houda Amrani,06-87-60-95-84,N/A,بني ملال,CHAUSS FEM YZ 249 - 37/Bleu / bleu,1,249,2024-12-15 18:28:20,,
YCN-000101,Doublon,,Lahcen Chafik,07-32-20-50-38,N/A,آسفي,CHAUSS FEM YZ 247 - 39/Bleu / bleu,1,239,2025-06-27 22:08:55,SHP-000076 (L286),
YCN-000102,Non affectée,Op2,سعيد Skalli,07-69-54-14-71,8 Rue Al Massira,مراكش,CHAUSS FEM YZ 247 - 37/Rouge / rouge,1,239,2024-09-05 15:19:09,,
YCN-000103,Non affectée,,لحسن بن علي,07-73-31-35-74,N/A,Errachidia,CHAUSS HOM YZ 303 - 44/Noir / noir,1,289,2024-07-08 21:39:38,,
SHP-000104,Non affectée,,Lahcen Idrissi,07-74-96-32-37,N/A,Tanger,CHAUSS FEM YZ 247 - 40/Rouge / rouge,1,239,2023-11-18 13:28:52,,
SHP-000105,Non affectée,,Driss Tazi,06-82-43-43-64,N/A,Essaouira,SDL HOM YZ740 - 43/marron / بني,1,345,2024-04-10 18:42:32,,
SHP-000106,Non affectée,,Malika Chafik,07-88-69-43-19,N/A,Safi,SDL HOM YZ740 - 42/noir / أسود,1,345,2025-03-08 17:25:14,,
YCN-000107,Doublon,,Mohamed Bennani,06-39-79-45-72,N/A,Khemisset,SDL HOM YZ740 - 41/noir / أسود,1,345,2024-11-19 20:39:15,SHP-000030 (L317),
YCN-000108,Non affectée,,عبد القادر Skalli,07-49-49-91-74,N/A,El Jadida,CHAUSS FEM YZ 244 - 39/أحمر / rouge,1,249,2023-04-03 15:39:24,,
YCN-000109,Non affectée,,إدريس Essabri,06-11-16-88-89,N/A,Essaouira,CHAUSS FEM YZ 244 - 37/أزرق / bleu,1,249,2023-05-25 13:04:12,,
SHP-000110,Non affectée,,Latifa Tazi,07-29-37-28-32,N/A,Tétouan,CHAUSS HOM YZ 303 - 43/Noir / noir,1,289,2025-05-20 08:36:46,,
YCN-000111,Non affectée,Marketing,عائشة Bouziane,07-17-93-62-56,N/A,الجديدة,ESP HOM YZ650 - 40/أسود أبيض / noir blanc,1,299,2025-05-17 16:17:20,,
YCN-000112,Non affectée,,لحسن الإدريسي,07-36-31-85-53,N/A,وجدة,CHAUSS FEM YZ 244 - 40/أسود / noir,1,249,2025-01-04 18:50:10,,
YCN-000113,Non affectée,,Layla Chafik,06-46-70-89-79,"Rés. Al Amal 2, App 5",مراكش,SDL HOM YZ740 - 45/marron / بني,1,345,2023-02-19 16:56:16,,
SHP-000114,Non affectée,Op1,Redouane Bennani,06-60-45-24-32,N/A,طنجة,CHAUSS HOM YZ 303 - 41/Noir / noir,1,289,2024-01-21 16:47:16,,
YCN-000115,Non affectée,,مصطفى الفاسي,06-21-51-16-10,N/A,Tétouan,CHAUSS HOM YZ 303 - 42/Marron / marron,1,289,2023-02-25 19:59:30,,
YCN-000116,Non affectée,,Noureddine Tazi,07-20-33-75-81,N/A,Tanger,CHAUSS FEM YZ 247 - 40/Rouge / rouge,1,239,2024-12-21 09:41:14,,
YCN-000117,Non affectée,,Khadija Chafik,06-10-11-58-92,N/A,Khouribga,ESP HOM YZ650 - 43/الأزرق / bleu,1,299,2024-05-11 13:07:54,,
SHP-000118,Non affectée,,Ikram Amrani,06-88-63-73-92,N/A,Agadir,SDL HOM YZ740 - 44/noir / أسود,1,345,2024-11-28 13:40:37,,
YCN-000119,Non affectée,,Karim Alaoui,07-59-77-38-60,N/A,Fès,SDL HOM YZ740 - 42/marron / بني,1,345,2024-12-29 16:04:29,,
SHP-000120,Non affectée,,Layla Chafik,07-16-51-61-40,N/A,الراشيدية,CHAUSS FEM YZ 244 - 41/أحمر / rouge,1,249,2024-05-19 08:49:20,,
SHP-000121,Non affectée,,Redouane Amrani,07-98-99-96-36,N/A,الدار البيضاء,CHAUSS FEM YZ 244 - 40/أزرق / bleu,1,249,2023-01-04 16:18:05,,
YCN-000122,Non affectée,Marketing,Said El Fassi,06-15-22-16-58,N/A,الجديدة,CHAUSS FEM YZ 247 - 39/Rouge / rouge,1,239,2023-04-07 11:06:47,,
YCN-000123,Non affectée,,Said Tazi,06-10-32-22-90,8 Rue Al Massira,Khouribga,CHAUSS FEM YZ 249 - 40/Rose / rose,1,249,2024-10-17 12:09:37,,
YCN-000124,Non affectée,,Driss Alaoui,06-96-79-96-31,N/A,الرباط,CHAUSS HOM YZ 303 - 44/Marron / marron,1,289,2023-08-09 22:32:14,,
YCN-000125,Non affectée,,Omar El Fassi,06-56-70-61-61,N/A,Taza,CHAUSS FEM YZ 247 - 36/Noir / noir,3,239,2024-05-26 12:17:23,,
YCN-000126,Non affectée,Op2,حسن العمراني,06-42-77-66-37,N/A,فاس,CHAUSS HOM YZ 303 - 43/Marron / marron,1,289,2023-02-03 15:58:52,,
SHP-000127,Non affectée,,Khadija Bennani,06-19-60-15-57,Lotissement Chourouk,Taza,CHAUSS HOM YZ 303 - 44/Marron / marron,1,289,2024-11-09 20:24:32,,
YCN-000128,Non affectée,,رضوان العمراني,06-94-46-68-61,N/A,Larache,CHAUSS FEM YZ 244 - 40/أزرق / bleu,1,249,2023-09-15 10:48:43,,
YCN-000129,Non affectée,,إدريس الفاسي,06-75-22-44-10,N/A,Tanger,CHAUSS FEM YZ 244 - 40/أسود / noir,1,249,2024-12-09 08:50:50,,
YCN-000130,Non affectée,Op3,Omar Chafik,07-14-25-15-81,N/A,Essaouira,CHAUSS FEM YZ 249 - 37/Bleu / bleu,1,249,2024-07-03 22:49:54,,
SHP-000131,Non affectée,,Hamid Benali,07-50-42-93-84,N/A,وجدة,CHAUSS FEM YZ 244 - 41/أحمر / rouge,1,249,2023-07-24 09:17:31,,
YCN-000132,Non affectée,,Mohamed Amrani,06-54-10-14-51,N/A,الرباط,CHAUSS HOM YZ 304 - 43/Marron / marron,1,279,2024-02-15 14:02:53,,
YCN-000133,Non affectée,,Youssef Tazi,06-79-20-95-89,12 Rue Al Qods,Ouarzazate,CHAUSS HOM YZ 303 - 44/Marron / marron,1,289,2024-10-29 19:55:18,,
YCN-000134,Non affectée,,سعيد Lahlou,07-78-36-84-57,7 Rue El Harouchi,Khouribga,CHAUSS HOM YZ 304 - 45/Marron / marron,1,279,2023-01-29 10:52:44,,
SHP-000135,Doublon,,Driss Idrissi,06-57-14-49-21,12 Rue Al Qods,مراكش,CHAUSS FEM YZ 247 - 40/Noir / noir,1,239,2024-01-16 14:23:15,YCN-000117 (L216),
YCN-000136,Non affectée,,Driss Amrani,06-88-28-81-99,N/A,Guercif,CHAUSS HOM YZ 303 - 40/Noir / noir,1,289,2024-01-30 16:27:56,,
YCN-000137,Non affectée,,Khadija El Fassi,06-21-47-11-39,N/A,Settat,CHAUSS FEM YZ 244 - 38/أسود / noir,1,249,2023-01-19 15:16:30,,
SHP-000138,Non affectée,,زينب التازي,07-55-21-78-56,N/A,Kénitra,CHAUSS FEM YZ 244 - 41/أسود / noir,1,249,2023-06-21 09:03:42,,
YCN-000139,Non affectée,Vente,Aicha Bennani,06-37-96-43-14,15 Bd Hassan II,القنيطرة,CHAUSS HOM YZ 304 - 43/Marron / marron,1,279,2023-07-06 19:11:09,,
YCN-000140,Non affectée,,سلمى الإدريسي,06-58-27-39-32,N/A,الجديدة,SDL HOM YZ740 - 41/marron / بني,1,345,2023-12-15 16:54:00,,
YCN-000141,Doublon,,Samira Amrani,06-40-39-43-63,N/A,بني ملال,CHAUSS FEM YZ 247 - 40/Rouge / rouge,1,239,2023-06-29 18:21:58,YCN-000112 (L32),
YCN-000142,Non affectée,Marketing,Youssef Alaoui,07-57-89-55-65,N/A,طنجة,CHAUSS HOM YZ 304 - 43/Noir / noir,1,279,2024-01-17 14:09:19,,
YCN-000143,Non affectée,,Zineb Tazi,06-88-85-14-78,N/A,أگادير,CHAUSS FEM YZ 249 - 36/Rose / rose,1,249,2024-12-19 22:55:32,,
YCN-000144,Non affectée,,Hamid Bennani,07-36-72-72-45,N/A,El Jadida,CHAUSS FEM YZ 249 - 38/Rose / rose,1,249,2025-05-03 21:54:31,,
YCN-000145,Non affectée,,Malika Chafik,06-83-84-93-89,N/A,Taza,CHAUSS HOM YZ 303 - 43/Marron / marron,1,289,2025-04-16 08:55:00,,
YCN-000146,Non affectée,,نادية الإدريسي,07-76-18-74-59,N/A,Casablanca,CHAUSS HOM YZ 303 - 44/Marron / marron,1,289,2024-12-09 10:12:15,,
YCN-000147,Doublon,,فاطمة العلوي,06-77-16-97-10,N/A,القنيطرة,CHAUSS FEM YZ 248 - 38/Bleu / bleu,1,259,2024-07-30 16:45:23,YCN-000007 (L279),
SHP-000148,Non affectée,,Ahmed Bennani,06-20-34-57-69,N/A,آسفي,CHAUSS FEM YZ 248 - 38/Vert / vert,1,259,2024-10-01 12:54:08,,
YCN-000149,Non affectée,,Hamid Benali,06-71-17-42-37,N/A,Rabat,SDL HOM YZ740 - 43/noir / أسود,1,345,2023-04-30 11:05:20,,
YCN-000150,Non affectée,,كريم Lahlou,06-98-87-68-55,8 Rue Al Massira,Agadir,SDL HOM YZ740 - 41/noir / أسود,1,345,2024-06-25 22:40:08,,
YCN-000151,Non affectée,Marketing,Lahcen Benali,07-10-28-59-41,15 Bd Hassan II,Oujda,SDL HOM YZ740 - 41/noir / أسود,1,345,2024-03-22 12:32:50,,
YCN-000152,Doublon,,Driss Benali,07-62-45-93-96,15 Bd Hassan II,بني ملال,CHAUSS HOM YZ 304 - 45/Marron / marron,1,279,2024-12-21 19:37:49,YCN-000133 (L223),
YCN-000153,Non affectée,Marketing,إسماعيل التازي,07-51-14-17-54,N/A,Ouarzazate,CHAUSS FEM YZ 248 - 37/Bleu / bleu,1,259,2025-06-02 08:28:12,,
